nObserver,cond,nEsti,nDictator,prefDictator,estim,RT,accuracy
2,1,3,9,0.757575757575758,0.535156,5.064668,0.777580242424242
2,1,4,9,0.757575757575758,0.552734,7.200533,0.795158242424242
2,4,1,11,0.690909090909091,0.546875,4.670427,0.855965909090909
2,4,2,11,0.690909090909091,0.485352,4.200059,0.794442909090909
2,4,3,11,0.690909090909091,0.470703,3.816711,0.779793909090909
2,4,4,11,0.690909090909091,0.514648,4.735479,0.823738909090909
2,4,1,13,0.921212121212121,0.582031,4.368679,0.660818878787879
2,4,2,13,0.921212121212121,0.555664,5.234218,0.634451878787879
2,4,3,13,0.921212121212121,0.728516,3.317155,0.807303878787879
2,4,4,13,0.921212121212121,0.561523,4.451689,0.640310878787879
2,4,1,10,0.115151515151515,0.661133,5.729791,0.454018515151515
2,4,2,10,0.115151515151515,0.514648,6.754484,0.600503515151515
2,4,3,10,0.115151515151515,0.505859,3.368011,0.609292515151515
2,4,4,10,0.115151515151515,0.532227,3.617872,0.582924515151515
2,4,1,7,0.951515151515152,0.447266,6.518509,0.495750848484849
2,4,2,7,0.951515151515152,0.819336,4.633703,0.867820848484848
2,4,3,7,0.951515151515152,0.804688,4.467251,0.853172848484848
2,4,4,7,0.951515151515152,0.77832,4.40143,0.826804848484848
2,2,1,12,0.478787878787879,0.511719,4.709105,0.967068878787879
2,2,2,12,0.478787878787879,0.318359,6.049287,0.839571121212121
2,2,3,12,0.478787878787879,0.514648,5.147933,0.964139878787879
2,2,4,12,0.478787878787879,0.458984,8.736789,0.980196121212121
2,2,1,4,1,0.520508,3.231809,0.520508
2,2,2,4,1,0.801758,4.481581,0.801758
2,2,3,4,1,0.869141,4.833534,0.869141
2,2,4,4,1,0.962891,4.632454,0.962891
2,2,1,15,0.824242424242424,0.464844,4.919032,0.640601575757576
2,2,2,15,0.824242424242424,0.508789,4.465404,0.684546575757576
2,2,3,15,0.824242424242424,0.681641,6.100482,0.857398575757576
2,2,4,15,0.824242424242424,0.760742,4.549776,0.936499575757576
2,2,1,3,0.721212121212121,0.546875,6.817769,0.825662878787879
2,2,2,3,0.721212121212121,0.836914,4.848335,0.884298121212121
2,2,3,3,0.721212121212121,0.880859,6.850893,0.840353121212121
2,2,4,3,0.721212121212121,0.713867,4.616327,0.992654878787879
2,3,1,5,0.872727272727273,0.59082,3.636345,0.718092727272727
2,3,2,5,0.872727272727273,0.787109,12.274919,0.914381727272727
2,3,3,5,0.872727272727273,0.561523,7.087893,0.688795727272727
2,3,4,5,0.872727272727273,0.617188,4.484172,0.744460727272727
2,3,1,2,0.624242424242424,0.511719,3.664385,0.887476575757576
2,3,2,2,0.624242424242424,0.538086,6.469063,0.913843575757576
2,3,3,2,0.624242424242424,0.608398,5.567955,0.984155575757576
