nDictator,ch,RT,splitL,splitR
5,1,1.133066,0.2954,0.899468
5,1,2.208054,0.593458,0.499754
5,1,1.491466,0.977201,0.492875
5,1,1.641429,0.408562,0.768968
5,-1,0.783932,0.614687,0
5,1,1.20806,0.783263,0.968939
5,1,1.166436,0.237843,0.565248
5,-1,1.291232,0.500448,0.737744
5,1,1.099534,0.037989,0.407524
5,1,1.791321,0.932811,0.620636
5,-1,0.941364,0.721761,0.290926
5,-1,1.291424,0.669467,1
5,-1,0.916777,1,0.114952
5,1,0.941329,0.218191,0.413401
5,-1,2.54146,0.70712,0.798388
5,1,2.316419,0.407134,0.896025
5,1,0.983007,0.178083,0.387906
5,1,2.099733,0.398783,0.868516
5,1,0.766336,0.43018,0.512126
5,1,1.557946,0.412828,0.556699
5,-1,0.983034,0.483755,0.269268
5,1,1.166404,0.308041,0.909723
5,1,1.457907,0.792861,0.988441
5,-1,1.291405,0.990536,0.703679
5,1,2.750485,0.201945,0.102847
5,-1,0.749648,0.602233,0.125208
5,1,2.124695,0.814629,0.892049
5,-1,1.800828,0.471591,0.816538
5,-1,0.982998,0.598166,0.693065
5,1,1.599628,0.421219,0.592479
5,1,1.457923,0.397059,0.93097
5,-1,0.841318,0.515039,0.571205
5,-1,1.616301,0.267693,0.201721
5,-1,1.25021,0.233708,0.110934
5,-1,1.149742,0.485382,0.716669
5,1,0.650127,0.188188,0.587795
5,1,1.299565,0.39961,1
5,1,0.774662,0.107719,0.947347
5,-1,0.808006,0.99898,0.199892
5,-1,0.899691,0.997151,0
5,-1,1.699576,0.909168,0.777631
5,-1,0.81634,0.619774,0.210092
5,-1,0.799716,1,0.173761
5,1,0.616277,0.199171,0.883852
5,-1,1.583562,0.307906,0
5,-1,1.491451,0.611031,0.928206
5,-1,0.557736,1,0.899662
5,1,0.899703,0.883378,0.514364
5,1,0.699652,0.112678,0.887872
