nObserver,ch,RT,splitL,splitR
10,-1,1.157437,0.455391,0.969758
10,1,0.715669,0,0.60661
10,-1,0.538464,1,0.093579
10,-1,1.791586,0.827406,0.264808
10,1,1.133295,1,0.895277
10,-1,0.947299,0.282984,0
10,-1,0.843526,1,0.002124
10,-1,1.402377,0.898764,0.15442
10,-1,1.909159,0.684977,0.392663
10,1,1.800932,0.293528,0.690861
10,-1,1.191631,0.585953,0.796798
10,1,0.862431,0.216857,0.501171
10,-1,1.594343,0.328177,0.094408
10,-1,0.772009,0.564087,0.122292
10,-1,1.106905,0.289287,0.990832
10,1,1.141414,0.884929,0.634739
10,1,1.407914,0,0.408907
10,1,2.43675,0.916171,0.723559
10,-1,0.819982,0.084184,0
10,1,1.189615,0.113268,0.923942
10,-1,0.753283,0.186211,0.081345
10,1,0.554831,0.007006,0.7305
10,-1,0.662936,0.199582,0.026474
10,1,1.874999,0.230952,0.305185
10,-1,3.914668,0.321481,0.393365
10,-1,0.904813,0.380751,0.090647
10,-1,0.635878,0.596509,0.19893
10,1,1.405631,0.897628,0.815163
10,-1,1.243063,0.807788,0.105282
10,1,0.887354,0.589166,0.491519
10,-1,3.927002,0.805123,0.379403
10,1,2.217021,0.926222,0.306205
10,-1,3.823994,0.204897,0.998391
10,1,1.253754,1,0.805209
10,-1,0.936768,0.808699,0.004341
10,1,0.627941,0.085949,0.679182
10,-1,0.990579,0.734269,0.200266
10,1,1.062513,0.290466,0.619884
10,1,1.09297,0.378488,0.477805
10,-1,0.703946,0.509892,0.252307
10,1,1.474695,0.982419,0.408197
10,-1,1.19489,0.663625,0.977045
10,-1,0.699091,0.912069,0.010067
10,1,0.890688,0.709317,0.590366
10,1,0.898447,0.810761,0.510952
10,-1,0.87424,0.610046,0.382152
10,1,0.67365,0.7211,0.502981
11,1,0.875666,0.086261,0.278055
11,1,0.492196,0.374562,0.989927
11,-1,0.62514,0.398894,0.221218
11,-1,1.077594,0.596919,0.702349
11,-1,0.641175,0.711379,0.026018
11,-1,0.555108,1,0.313197
11,1,0.591515,0,0.606524
11,-1,0.574749,0.286749,0.00159
11,1,0.863989,0.28918,0.495802
11,-1,0.447564,0.781023,0.000728
11,-1,0.625257,0.074307,0.022689
11,-1,1.631366,0.798952,0.668403
11,1,0.56326,0.003546,0.486861
11,-1,0.717752,0.971398,0.685233
11,1,1.389688,0.662122,0.911759
11,-1,0.605336,0.485713,0.393828
11,1,0.592196,0.099382,0.393311
11,-1,1.206155,0.914493,0.84433
11,-1,0.583753,0.707129,0.430037
11,-1,0.548245,0.585899,0.297477
11,1,0.535745,0.093908,0.701656
11,1,0.955349,0.568631,0.806212
11,1,1.21412,0.501601,0.693427
11,-1,0.517878,0.69587,0.34722
11,1,0.727234,0.396642,0.866756
11,-1,0.462766,0.593501,0.107752
11,-1,0.497951,0.397211,0
11,-1,0.780807,0.583985,0.509313
11,-1,0.638453,0.895241,0.617083
11,1,0.512612,0.199064,0.505593
11,-1,0.596853,0.40319,0.292637
11,1,0.409543,0.206121,0.984068
11,1,0.789216,0.621508,1
11,1,0.598266,0.200376,0.805881
11,1,0.829445,0.199091,0.308827
11,1,0.548453,0.533401,1
11,-1,0.531135,0.792389,0.305109
11,1,0.593602,0,1
11,1,0.811302,0.394522,0.787821
11,1,0.584131,0.905504,1
11,-1,0.418619,0.902217,0.02815
11,-1,0.435434,0.680933,0.188434
11,1,0.479828,0.281469,0.913748
11,1,0.446812,0.215314,0.60697
11,-1,0.389266,0.895835,0.235633
11,-1,0.653554,0.187921,0.12117
11,-1,0.436214,1,0.127581
11,1,0.447081,0.015227,0.19671
11,1,0.455344,0.816322,0.986049
11,-1,0.455084,0.764686,0.472624
11,1,0.379837,0.098794,0.876329
11,1,0.700198,0.514416,0.86792
11,1,0.685217,0.419051,0.614422
11,1,0.529718,0.081468,0.500482
11,1,0.473738,0.135865,0.801038
12,-1,0.939927,0.505031,0.801669
12,1,1.001844,0.113744,0.29509
12,-1,1.255218,0.603683,0.898233
12,-1,2.223294,0.598093,0.099838
12,1,1.172327,0.122064,0.403526
12,-1,1.000095,0.228383,0.03893
12,1,1.029995,0.252307,0.839764
12,1,1.754851,0,0.789027
12,-1,2.039431,0.503341,0.570346
12,1,2.018291,1,0.116469
12,1,2.432627,0.406303,0.505815
12,-1,1.68948,0.934727,1
12,-1,0.894346,0.708184,0.902508
12,1,1.078739,0.104658,0.681704
12,-1,1.179448,0.374039,0.721621
12,-1,1.403334,0.381434,0.802861
12,1,0.95927,0.286774,0.712348
12,1,1.379014,0,0.29752
12,-1,1.178306,0.50627,0.895449
12,-1,1.061499,0.496715,0.111616
12,1,1.013025,0,0.888568
12,-1,1.153553,0.515563,0.169442
12,-1,1.62386,0.371755,0.905717
12,-1,1.104777,0.715521,0.509009
12,1,2.167569,0.724669,0.814084
12,1,2.189819,0.605222,0.732831
12,1,1.379258,0.905279,0.335766
12,1,1.816869,0,0.57548
12,-1,2.421634,0.512359,1
12,1,1.083589,0,0.403278
12,-1,1.710957,0.206612,0.91898
12,-1,1.940417,0.615458,0.413892
12,-1,1.378201,0.775895,0.107183
